Year,UNIT_MEASURE,Admin_Area,HH_size,Value
2023,NUMBER,centar_sarajevo,4,3832
2023,NUMBER,hadzici,4,1873
2023,NUMBER,ilidza,4,5079
2023,NUMBER,ilijas,4,1476
2023,NUMBER,novi_grad_sarajevo,4,8817
2023,NUMBER,novo_sarajevo,4,4557
2023,NUMBER,stari_grad_sarajevo,4,2674
2023,NUMBER,trnovo-fbih,4,63
2023,NUMBER,vogosca,4,2152
2023,NUMBER,canton_10,4,4138
2023,NUMBER,bosansko_grahovo,4,100
2023,NUMBER,drvar,4,390
2023,NUMBER,glamoc,4,172
2023,NUMBER,kupres,4,275
2023,NUMBER,livno,4,1740
2023,NUMBER,tomislavgrad,4,1461
2023,NUMBER,federation_of_bih,5,67486
2023,NUMBER,una-sana_canton,5,9711
2023,NUMBER,bihac,5,1737
2023,NUMBER,bosanska_krupa,5,911
2023,NUMBER,bosanski_petrovac,5,185
2023,NUMBER,buzim,5,800
2023,NUMBER,cazin,5,2592
2023,NUMBER,kljuc,5,586
2023,NUMBER,sanski_most,5,1405
2023,NUMBER,velika_kladusa,5,1495
2023,NUMBER,posavina_canton,5,1588
2023,NUMBER,domaljevac-samac,5,216
2023,NUMBER,odzak,5,644
2023,NUMBER,orasje,5,728
2023,NUMBER,tuzla_canton,5,11199
2023,NUMBER,banovici,5,510
2023,NUMBER,celic,5,376
2023,NUMBER,doboj-istok,5,278
2023,NUMBER,gracanica,5,1143
2023,NUMBER,gradacac,5,1367
2023,NUMBER,kalesija,5,1166
2023,NUMBER,kladanj,5,434
2023,NUMBER,lukavac,5,753
2023,NUMBER,sapna,5,413
2023,NUMBER,srebrenik,5,1047
2023,NUMBER,teocak,5,327
2023,NUMBER,tuzla,5,1782
2023,NUMBER,zivinice,5,1603
2023,NUMBER,zenica-doboj_canton,5,10450
2023,NUMBER,breza,5,329
2023,NUMBER,doboj-jug,5,145
2023,NUMBER,kakanj,5,1112
2023,NUMBER,maglaj,5,601
2023,NUMBER,olovo,5,294
2023,NUMBER,tesanj,5,1440
