Year,UNIT_MEASURE,Spol,Administrativna jedinica,Vitalna statistika,Value
2006,Broj,Ž,Kanton 10,Živorođeni,255
2007,Broj,Ukupno,Federacija Bosne i Hercegovine,Živorođeni,21628
2007,Broj,Ukupno,Unsko-sanski kanton,Živorođeni,2841
2007,Broj,Ukupno,Posavski kanton,Živorođeni,278
2007,Broj,Ukupno,Tuzlanski kanton,Živorođeni,4616
2007,Broj,Ukupno,Zeničko-dobojski kanton,Živorođeni,3881
2007,Broj,Ukupno,Bosansko-podrinjski kanton,Živorođeni,173
2007,Broj,Ukupno,Srednjobosanski kanton,Živorođeni,2605
2007,Broj,Ukupno,Hercegovačko-neretvanski kanton,Živorođeni,1767
2007,Broj,Ukupno,Zapadno-hercegovački kanton,Živorođeni,691
2007,Broj,Ukupno,Kanton Sarajevo,Živorođeni,4283
2007,Broj,Ukupno,Kanton 10,Živorođeni,493
2007,Broj,M,Federacija Bosne i Hercegovine,Živorođeni,11249
2007,Broj,M,Unsko-sanski kanton,Živorođeni,1519
2007,Broj,M,Posavski kanton,Živorođeni,154
2007,Broj,M,Tuzlanski kanton,Živorođeni,2360
2007,Broj,M,Zeničko-dobojski kanton,Živorođeni,2023
2007,Broj,M,Bosansko-podrinjski kanton,Živorođeni,77
2007,Broj,M,Srednjobosanski kanton,Živorođeni,1369
2007,Broj,M,Hercegovačko-neretvanski kanton,Živorođeni,925
2007,Broj,M,Zapadno-hercegovački kanton,Živorođeni,355
2007,Broj,M,Kanton Sarajevo,Živorođeni,2200
2007,Broj,M,Kanton 10,Živorođeni,267
2007,Broj,Ž,Federacija Bosne i Hercegovine,Živorođeni,10379
2007,Broj,Ž,Unsko-sanski kanton,Živorođeni,1322
2007,Broj,Ž,Posavski kanton,Živorođeni,124
2007,Broj,Ž,Tuzlanski kanton,Živorođeni,2256
2007,Broj,Ž,Zeničko-dobojski kanton,Živorođeni,1858
2007,Broj,Ž,Bosansko-podrinjski kanton,Živorođeni,96
2007,Broj,Ž,Srednjobosanski kanton,Živorođeni,1236
2007,Broj,Ž,Hercegovačko-neretvanski kanton,Živorođeni,842
2007,Broj,Ž,Zapadno-hercegovački kanton,Živorođeni,336
2007,Broj,Ž,Kanton Sarajevo,Živorođeni,2083
2007,Broj,Ž,Kanton 10,Živorođeni,226
2008,Broj,Ukupno,Federacija Bosne i Hercegovine,Živorođeni,22819
2008,Broj,Ukupno,Unsko-sanski kanton,Živorođeni,2990
2008,Broj,Ukupno,Posavski kanton,Živorođeni,251
2008,Broj,Ukupno,Tuzlanski kanton,Živorođeni,4801
2008,Broj,Ukupno,Zeničko-dobojski kanton,Živorođeni,4253
2008,Broj,Ukupno,Bosansko-podrinjski kanton,Živorođeni,210
2008,Broj,Ukupno,Srednjobosanski kanton,Živorođeni,2564
2008,Broj,Ukupno,Hercegovačko-neretvanski kanton,Živorođeni,1916
2008,Broj,Ukupno,Zapadno-hercegovački kanton,Živorođeni,751
2008,Broj,Ukupno,Kanton Sarajevo,Živorođeni,4621
2008,Broj,Ukupno,Kanton 10,Živorođeni,462
2008,Broj,M,Federacija Bosne i Hercegovine,Živorođeni,11682
2008,Broj,M,Unsko-sanski kanton,Živorođeni,1481
2008,Broj,M,Posavski kanton,Živorođeni,127
2008,Broj,M,Tuzlanski kanton,Živorođeni,2440
2008,Broj,M,Zeničko-dobojski kanton,Živorođeni,2187
2008,Broj,M,Bosansko-podrinjski kanton,Živorođeni,119
2008,Broj,M,Srednjobosanski kanton,Živorođeni,1322
2008,Broj,M,Hercegovačko-neretvanski kanton,Živorođeni,1015
