Year,UNIT_MEASURE,Administrativna jedinica,Vrsta škole,Value
2023,Broj,Hercegovačko-neretvanski kanton,Umjetničke škole,123
2023,Broj,Hercegovačko-neretvanski kanton,Vjerske škole,226
2023,Broj,Hercegovačko-neretvanski kanton,Srednje škole za djecu s poteškoćama u razvoju,11
2016,Broj,Zapadno-hercegovački kanton,Gimnazija,1603
2016,Broj,Zapadno-hercegovački kanton,Tehničke škole,1831
2016,Broj,Zapadno-hercegovački kanton,Stručne škole,571
2016,Broj,Zapadno-hercegovački kanton,Umjetničke škole,21
2016,Broj,Zapadno-hercegovački kanton,Srednje škole za djecu s poteškoćama u razvoju,3
2017,Broj,Zapadno-hercegovački kanton,Gimnazija,1490
2017,Broj,Zapadno-hercegovački kanton,Tehničke škole,1838
2017,Broj,Zapadno-hercegovački kanton,Stručne škole,445
2017,Broj,Zapadno-hercegovački kanton,Umjetničke škole,27
2017,Broj,Zapadno-hercegovački kanton,Srednje škole za djecu s poteškoćama u razvoju,3
2018,Broj,Zapadno-hercegovački kanton,Gimnazija,1263
2018,Broj,Zapadno-hercegovački kanton,Tehničke škole,1738
2018,Broj,Zapadno-hercegovački kanton,Stručne škole,357
2018,Broj,Zapadno-hercegovački kanton,Umjetničke škole,30
2018,Broj,Zapadno-hercegovački kanton,Srednje škole za djecu s poteškoćama u razvoju,2
2019,Broj,Zapadno-hercegovački kanton,Gimnazija,1201
2019,Broj,Zapadno-hercegovački kanton,Tehničke škole,1693
2019,Broj,Zapadno-hercegovački kanton,Stručne škole,324
2019,Broj,Zapadno-hercegovački kanton,Umjetničke škole,41
2019,Broj,Zapadno-hercegovački kanton,Srednje škole za djecu s poteškoćama u razvoju,6
2020,Broj,Zapadno-hercegovački kanton,Gimnazija,1130
2020,Broj,Zapadno-hercegovački kanton,Tehničke škole,1667
2020,Broj,Zapadno-hercegovački kanton,Stručne škole,336
2020,Broj,Zapadno-hercegovački kanton,Srednje škole za djecu s poteškoćama u razvoju,5
2021,Broj,Zapadno-hercegovački kanton,Gimnazija,1119
2021,Broj,Zapadno-hercegovački kanton,Tehničke škole,1613
2021,Broj,Zapadno-hercegovački kanton,Stručne škole,353
2021,Broj,Zapadno-hercegovački kanton,Umjetničke škole,77
