Year,UNIT_MEASURE,Административна јединица,Бројност домаћинства,Value
2023,Број,Витез,6,336
2023,Број,Херцеговачко-неретвански кантон,6,3792
2023,Број,Чапљина,6,542
2023,Број,Читлук,6,456
2023,Број,Мостар,6,1494
2023,Број,Јабланица,6,129
2023,Број,Коњиц,6,302
2023,Број,Неум,6,96
2023,Број,Прозор,6,366
2023,Број,Равно,6,75
2023,Број,Столац,6,332
2023,Број,Западнохерцеговчки кантон,6,2375
2023,Број,Груде,6,431
2023,Број,Љубушки,6,682
2023,Број,Посушје,6,570
2023,Број,Широки Бријег,6,692
2023,Број,Кантон Сарајево,6,3254
2023,Број,Сарајево-Центар,6,318
2023,Број,Сарајево-Хаџићи,6,311
2023,Број,Сарајево-Илиџа,6,684
2023,Број,Сарајево-Илијаш,6,240
2023,Број,Сарајево-Нови Град,6,856
2023,Број,Сарајево-Ново Сарајево,6,322
2023,Број,Сарајево-Стари Град,6,277
2023,Број,Трново-ФБиХ,6,13
2023,Број,Сарајево-Вогошћа,6,233
2023,Број,Кантон 10,6,1797
2023,Број,Босанско Грахово,6,27
2023,Број,Дрвар,6,55
2023,Број,Гламоч,6,61
2023,Број,kupres,6,103
2023,Број,Ливно,6,749
2023,Број,Томиславград,6,802
2023,Број,Федерација Босне и Херцеговине,7,11533
