Year,UNIT_MEASURE,Administrative area,Sex,Value
2012,Number,bosnian-podrinje_canton,F,
2012,Number,central_bosnia_canton,F,10979.0
2012,Number,herzegovina-neretva_canton,F,8315.0
2012,Number,west_herzegovina_canton,F,1684.0
2012,Number,sarajevo_canton,F,65092.0
2012,Number,canton_10,F,2253.0
2013,Number,federation_of_bih,Both sexes,312990.0
2013,Number,una-sana_canton,Both sexes,20984.0
2013,Number,posavina_canton,Both sexes,423.0
2013,Number,tuzla_canton,Both sexes,73700.0
2013,Number,zenica-doboj_canton,Both sexes,64654.0
2013,Number,bosnian-podrinje_canton,Both sexes,
2013,Number,central_bosnia_canton,Both sexes,18573.0
2013,Number,herzegovina-neretva_canton,Both sexes,16085.0
2013,Number,west_herzegovina_canton,Both sexes,4371.0
2013,Number,sarajevo_canton,Both sexes,108806.0
2013,Number,canton_10,Both sexes,5394.0
2013,Number,federation_of_bih,M,150170.0
2013,Number,una-sana_canton,M,8082.0
2013,Number,posavina_canton,M,173.0
2013,Number,tuzla_canton,M,28461.0
2013,Number,zenica-doboj_canton,M,29657.0
2013,Number,bosnian-podrinje_canton,M,
2013,Number,central_bosnia_canton,M,8949.0
2013,Number,herzegovina-neretva_canton,M,7054.0
2013,Number,west_herzegovina_canton,M,2151.0
2013,Number,sarajevo_canton,M,63206.0
2013,Number,canton_10,M,2437.0
2013,Number,federation_of_bih,F,162820.0
2013,Number,una-sana_canton,F,12902.0
2013,Number,posavina_canton,F,250.0
2013,Number,tuzla_canton,F,45239.0
2013,Number,zenica-doboj_canton,F,34997.0
2013,Number,bosnian-podrinje_canton,F,
2013,Number,central_bosnia_canton,F,9624.0
2013,Number,herzegovina-neretva_canton,F,9031.0
2013,Number,west_herzegovina_canton,F,2220.0
2013,Number,sarajevo_canton,F,45600.0
2013,Number,canton_10,F,2957.0
2014,Number,federation_of_bih,Both sexes,300743.0
2014,Number,una-sana_canton,Both sexes,21524.0
2014,Number,posavina_canton,Both sexes,975.0
2014,Number,tuzla_canton,Both sexes,63748.0
2014,Number,zenica-doboj_canton,Both sexes,59350.0
2014,Number,bosnian-podrinje_canton,Both sexes,10433.0
2014,Number,central_bosnia_canton,Both sexes,19890.0
2014,Number,herzegovina-neretva_canton,Both sexes,17882.0
2014,Number,west_herzegovina_canton,Both sexes,3530.0
2014,Number,sarajevo_canton,Both sexes,97948.0
2014,Number,canton_10,Both sexes,5463.0
2014,Number,federation_of_bih,M,143250.0
2014,Number,una-sana_canton,M,9405.0
2014,Number,posavina_canton,M,445.0
2014,Number,tuzla_canton,M,29484.0
2014,Number,zenica-doboj_canton,M,26577.0
2014,Number,bosnian-podrinje_canton,M,3283.0
2014,Number,central_bosnia_canton,M,9722.0
2014,Number,herzegovina-neretva_canton,M,7567.0
2014,Number,west_herzegovina_canton,M,1564.0
2014,Number,sarajevo_canton,M,52841.0
2014,Number,canton_10,M,2362.0
2014,Number,federation_of_bih,F,157493.0
2014,Number,una-sana_canton,F,12119.0
2014,Number,posavina_canton,F,530.0
2014,Number,tuzla_canton,F,34264.0
2014,Number,zenica-doboj_canton,F,32773.0
2014,Number,bosnian-podrinje_canton,F,7150.0
2014,Number,central_bosnia_canton,F,10168.0
2014,Number,herzegovina-neretva_canton,F,10315.0
2014,Number,west_herzegovina_canton,F,1966.0
2014,Number,sarajevo_canton,F,45107.0
2014,Number,canton_10,F,3101.0
2015,Number,federation_of_bih,Both sexes,283575.0
2015,Number,una-sana_canton,Both sexes,21810.0
2015,Number,posavina_canton,Both sexes,1041.0
2015,Number,tuzla_canton,Both sexes,63009.0
2015,Number,zenica-doboj_canton,Both sexes,55022.0
2015,Number,bosnian-podrinje_canton,Both sexes,11535.0
2015,Number,central_bosnia_canton,Both sexes,17407.0
2015,Number,herzegovina-neretva_canton,Both sexes,17673.0
2015,Number,west_herzegovina_canton,Both sexes,3614.0
2015,Number,sarajevo_canton,Both sexes,86478.0
2015,Number,canton_10,Both sexes,5986.0
2015,Number,federation_of_bih,M,139273.0
2015,Number,una-sana_canton,M,10336.0
2015,Number,posavina_canton,M,425.0
2015,Number,tuzla_canton,M,27833.0
2015,Number,zenica-doboj_canton,M,25681.0
2015,Number,bosnian-podrinje_canton,M,4981.0
2015,Number,central_bosnia_canton,M,8230.0
2015,Number,herzegovina-neretva_canton,M,7348.0
2015,Number,west_herzegovina_canton,M,1671.0
2015,Number,sarajevo_canton,M,50212.0
2015,Number,canton_10,M,2556.0
2015,Number,federation_of_bih,F,144302.0
2015,Number,una-sana_canton,F,11474.0
2015,Number,posavina_canton,F,616.0
2015,Number,tuzla_canton,F,35176.0
2015,Number,zenica-doboj_canton,F,29341.0
2015,Number,bosnian-podrinje_canton,F,6554.0
2015,Number,central_bosnia_canton,F,9177.0
2015,Number,herzegovina-neretva_canton,F,10325.0
2015,Number,west_herzegovina_canton,F,1943.0
2015,Number,sarajevo_canton,F,36266.0
2015,Number,canton_10,F,3430.0
2016,Number,federation_of_bih,Both sexes,295304.0
2016,Number,una-sana_canton,Both sexes,21855.0
