Year,UNIT_MEASURE,Administrativna oblast,Spol,Value
2008,Broj,una-sana_canton,Ž,9347.0
2008,Broj,posavina_canton,Ž,521.0
2008,Broj,tuzla_canton,Ž,32600.0
2008,Broj,zenica-doboj_canton,Ž,34801.0
2008,Broj,bosnian-podrinje_canton,Ž,
2008,Broj,central_bosnia_canton,Ž,13467.0
2008,Broj,herzegovina-neretva_canton,Ž,8804.0
2008,Broj,west_herzegovina_canton,Ž,1145.0
2008,Broj,sarajevo_canton,Ž,55665.0
2008,Broj,canton_10,Ž,1699.0
2009,Broj,federation_of_bih,Oba spola,403628.0
2009,Broj,una-sana_canton,Oba spola,20080.0
2009,Broj,posavina_canton,Oba spola,538.0
2009,Broj,tuzla_canton,Oba spola,68873.0
2009,Broj,zenica-doboj_canton,Oba spola,83298.0
2009,Broj,bosnian-podrinje_canton,Oba spola,
2009,Broj,central_bosnia_canton,Oba spola,22343.0
2009,Broj,herzegovina-neretva_canton,Oba spola,14039.0
2009,Broj,west_herzegovina_canton,Oba spola,2897.0
2009,Broj,sarajevo_canton,Oba spola,188504.0
2009,Broj,canton_10,Oba spola,3056.0
2009,Broj,federation_of_bih,M,198035.0
2009,Broj,una-sana_canton,M,7518.0
2009,Broj,posavina_canton,M,210.0
2009,Broj,tuzla_canton,M,32281.0
2009,Broj,zenica-doboj_canton,M,41961.0
2009,Broj,bosnian-podrinje_canton,M,
2009,Broj,central_bosnia_canton,M,9826.0
2009,Broj,herzegovina-neretva_canton,M,5819.0
2009,Broj,west_herzegovina_canton,M,1511.0
2009,Broj,sarajevo_canton,M,97779.0
2009,Broj,canton_10,M,1130.0
2009,Broj,federation_of_bih,Ž,205593.0
2009,Broj,una-sana_canton,Ž,12562.0
2009,Broj,posavina_canton,Ž,328.0
2009,Broj,tuzla_canton,Ž,36592.0
2009,Broj,zenica-doboj_canton,Ž,41337.0
2009,Broj,bosnian-podrinje_canton,Ž,
2009,Broj,central_bosnia_canton,Ž,12517.0
2009,Broj,herzegovina-neretva_canton,Ž,8220.0
2009,Broj,west_herzegovina_canton,Ž,1386.0
2009,Broj,sarajevo_canton,Ž,90725.0
2009,Broj,canton_10,Ž,1926.0
2010,Broj,federation_of_bih,Oba spola,368808.0
2010,Broj,una-sana_canton,Oba spola,19595.0
2010,Broj,posavina_canton,Oba spola,830.0
2010,Broj,tuzla_canton,Oba spola,68396.0
2010,Broj,zenica-doboj_canton,Oba spola,76610.0
2010,Broj,bosnian-podrinje_canton,Oba spola,
2010,Broj,central_bosnia_canton,Oba spola,17177.0
2010,Broj,herzegovina-neretva_canton,Oba spola,14923.0
2010,Broj,west_herzegovina_canton,Oba spola,3684.0
2010,Broj,sarajevo_canton,Oba spola,164918.0
2010,Broj,canton_10,Oba spola,2675.0
2010,Broj,federation_of_bih,M,174999.0
2010,Broj,una-sana_canton,M,7579.0
2010,Broj,posavina_canton,M,295.0
2010,Broj,tuzla_canton,M,29285.0
2010,Broj,zenica-doboj_canton,M,35188.0
2010,Broj,bosnian-podrinje_canton,M,
2010,Broj,central_bosnia_canton,M,7780.0
2010,Broj,herzegovina-neretva_canton,M,3427.0
2010,Broj,west_herzegovina_canton,M,2148.0
2010,Broj,sarajevo_canton,M,88379.0
2010,Broj,canton_10,M,918.0
2010,Broj,federation_of_bih,Ž,193809.0
2010,Broj,una-sana_canton,Ž,12016.0
2010,Broj,posavina_canton,Ž,535.0
2010,Broj,tuzla_canton,Ž,39111.0
2010,Broj,zenica-doboj_canton,Ž,41422.0
2010,Broj,bosnian-podrinje_canton,Ž,
2010,Broj,central_bosnia_canton,Ž,9397.0
2010,Broj,herzegovina-neretva_canton,Ž,11496.0
2010,Broj,west_herzegovina_canton,Ž,1536.0
2010,Broj,sarajevo_canton,Ž,76539.0
2010,Broj,canton_10,Ž,1757.0
2011,Broj,federation_of_bih,Oba spola,344976.0
2011,Broj,una-sana_canton,Oba spola,21212.0
2011,Broj,posavina_canton,Oba spola,228.0
2011,Broj,tuzla_canton,Oba spola,79042.0
2011,Broj,zenica-doboj_canton,Oba spola,73550.0
2011,Broj,bosnian-podrinje_canton,Oba spola,
2011,Broj,central_bosnia_canton,Oba spola,11560.0
2011,Broj,herzegovina-neretva_canton,Oba spola,15304.0
2011,Broj,west_herzegovina_canton,Oba spola,3174.0
2011,Broj,sarajevo_canton,Oba spola,137012.0
2011,Broj,canton_10,Oba spola,3894.0
2011,Broj,federation_of_bih,M,162768.0
2011,Broj,una-sana_canton,M,8760.0
2011,Broj,posavina_canton,M,93.0
2011,Broj,tuzla_canton,M,31106.0
2011,Broj,zenica-doboj_canton,M,35157.0
2011,Broj,bosnian-podrinje_canton,M,
2011,Broj,central_bosnia_canton,M,5787.0
2011,Broj,herzegovina-neretva_canton,M,6800.0
2011,Broj,west_herzegovina_canton,M,1583.0
2011,Broj,sarajevo_canton,M,71509.0
2011,Broj,canton_10,M,1973.0
2011,Broj,federation_of_bih,Ž,182208.0
2011,Broj,una-sana_canton,Ž,12452.0
2011,Broj,posavina_canton,Ž,135.0
2011,Broj,tuzla_canton,Ž,47936.0
2011,Broj,zenica-doboj_canton,Ž,38393.0
2011,Broj,bosnian-podrinje_canton,Ž,
2011,Broj,central_bosnia_canton,Ž,5773.0
2011,Broj,herzegovina-neretva_canton,Ž,8504.0
2011,Broj,west_herzegovina_canton,Ž,1591.0
2011,Broj,sarajevo_canton,Ž,65503.0
2011,Broj,canton_10,Ž,1921.0
2012,Broj,federation_of_bih,Oba spola,364552.0
2012,Broj,una-sana_canton,Oba spola,18348.0
2012,Broj,posavina_canton,Oba spola,350.0
2012,Broj,tuzla_canton,Oba spola,87038.0
2012,Broj,zenica-doboj_canton,Oba spola,61780.0
2012,Broj,bosnian-podrinje_canton,Oba spola,
2012,Broj,central_bosnia_canton,Oba spola,20320.0
2012,Broj,herzegovina-neretva_canton,Oba spola,13180.0
2012,Broj,west_herzegovina_canton,Oba spola,3944.0
2012,Broj,sarajevo_canton,Oba spola,155065.0
2012,Broj,canton_10,Oba spola,4527.0
2012,Broj,federation_of_bih,M,184723.0
2012,Broj,una-sana_canton,M,7074.0
2012,Broj,posavina_canton,M,170.0
2012,Broj,tuzla_canton,M,40077.0
2012,Broj,zenica-doboj_canton,M,28689.0
2012,Broj,bosnian-podrinje_canton,M,
2012,Broj,central_bosnia_canton,M,9341.0
2012,Broj,herzegovina-neretva_canton,M,4865.0
2012,Broj,west_herzegovina_canton,M,2260.0
2012,Broj,sarajevo_canton,M,89973.0
2012,Broj,canton_10,M,2274.0
2012,Broj,federation_of_bih,Ž,179829.0
2012,Broj,una-sana_canton,Ž,11274.0
2012,Broj,posavina_canton,Ž,180.0
2012,Broj,tuzla_canton,Ž,46961.0
2012,Broj,zenica-doboj_canton,Ž,33091.0
2012,Broj,bosnian-podrinje_canton,Ž,
2012,Broj,central_bosnia_canton,Ž,10979.0
2012,Broj,herzegovina-neretva_canton,Ž,8315.0
2012,Broj,west_herzegovina_canton,Ž,1684.0
2012,Broj,sarajevo_canton,Ž,65092.0
2012,Broj,canton_10,Ž,2253.0
2013,Broj,federation_of_bih,Oba spola,312990.0
2013,Broj,una-sana_canton,Oba spola,20984.0
2013,Broj,posavina_canton,Oba spola,423.0
2013,Broj,tuzla_canton,Oba spola,73700.0
2013,Broj,zenica-doboj_canton,Oba spola,64654.0
2013,Broj,bosnian-podrinje_canton,Oba spola,
2013,Broj,central_bosnia_canton,Oba spola,18573.0
2013,Broj,herzegovina-neretva_canton,Oba spola,16085.0
2013,Broj,west_herzegovina_canton,Oba spola,4371.0
2013,Broj,sarajevo_canton,Oba spola,108806.0
2013,Broj,canton_10,Oba spola,5394.0
2013,Broj,federation_of_bih,M,150170.0
