Year,UNIT_MEASURE,Administrativna oblast,type_of_school,Spol,Value
2019,Broj,Zapadno-hercegovački kanton,Vjerske škole,Oba spola,
2019,Broj,Zapadno-hercegovački kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2020,Broj,Zapadno-hercegovački kanton,Gimnazija,Oba spola,
2020,Broj,Zapadno-hercegovački kanton,Tehničke škole,Oba spola,
2020,Broj,Zapadno-hercegovački kanton,Stručne škole,Oba spola,
2020,Broj,Zapadno-hercegovački kanton,Umjetničke škole,Oba spola,
2020,Broj,Zapadno-hercegovački kanton,Vjerske škole,Oba spola,
2020,Broj,Zapadno-hercegovački kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2016,Broj,Kanton Sarajevo,Gimnazija,Oba spola,
2016,Broj,Kanton Sarajevo,Tehničke škole,Oba spola,
2016,Broj,Kanton Sarajevo,Stručne škole,Oba spola,
2016,Broj,Kanton Sarajevo,Umjetničke škole,Oba spola,
2016,Broj,Kanton Sarajevo,Vjerske škole,Oba spola,
2016,Broj,Kanton Sarajevo,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2017,Broj,Kanton Sarajevo,Gimnazija,Oba spola,
2017,Broj,Kanton Sarajevo,Tehničke škole,Oba spola,
2017,Broj,Kanton Sarajevo,Stručne škole,Oba spola,
2017,Broj,Kanton Sarajevo,Umjetničke škole,Oba spola,
2017,Broj,Kanton Sarajevo,Vjerske škole,Oba spola,
2017,Broj,Kanton Sarajevo,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2018,Broj,Kanton Sarajevo,Gimnazija,Oba spola,
2018,Broj,Kanton Sarajevo,Tehničke škole,Oba spola,
2018,Broj,Kanton Sarajevo,Stručne škole,Oba spola,
2018,Broj,Kanton Sarajevo,Umjetničke škole,Oba spola,
2018,Broj,Kanton Sarajevo,Vjerske škole,Oba spola,
2018,Broj,Kanton Sarajevo,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2019,Broj,Kanton Sarajevo,Gimnazija,Oba spola,
2019,Broj,Kanton Sarajevo,Tehničke škole,Oba spola,
2019,Broj,Kanton Sarajevo,Stručne škole,Oba spola,
2019,Broj,Kanton Sarajevo,Umjetničke škole,Oba spola,
2019,Broj,Kanton Sarajevo,Vjerske škole,Oba spola,
2019,Broj,Kanton Sarajevo,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2020,Broj,Kanton Sarajevo,Gimnazija,Oba spola,
2020,Broj,Kanton Sarajevo,Tehničke škole,Oba spola,
2020,Broj,Kanton Sarajevo,Stručne škole,Oba spola,
2020,Broj,Kanton Sarajevo,Umjetničke škole,Oba spola,
2020,Broj,Kanton Sarajevo,Vjerske škole,Oba spola,
2020,Broj,Kanton Sarajevo,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2016,Broj,Kanton 10,Gimnazija,Oba spola,
2016,Broj,Kanton 10,Tehničke škole,Oba spola,
2016,Broj,Kanton 10,Stručne škole,Oba spola,
2016,Broj,Kanton 10,Umjetničke škole,Oba spola,
2016,Broj,Kanton 10,Vjerske škole,Oba spola,
2016,Broj,Kanton 10,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2017,Broj,Kanton 10,Gimnazija,Oba spola,
2017,Broj,Kanton 10,Tehničke škole,Oba spola,
2017,Broj,Kanton 10,Stručne škole,Oba spola,
2017,Broj,Kanton 10,Umjetničke škole,Oba spola,
2017,Broj,Kanton 10,Vjerske škole,Oba spola,
2017,Broj,Kanton 10,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2018,Broj,Kanton 10,Gimnazija,Oba spola,
2018,Broj,Kanton 10,Tehničke škole,Oba spola,
2018,Broj,Kanton 10,Stručne škole,Oba spola,
2018,Broj,Kanton 10,Umjetničke škole,Oba spola,
2018,Broj,Kanton 10,Vjerske škole,Oba spola,
2018,Broj,Kanton 10,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2019,Broj,Kanton 10,Gimnazija,Oba spola,
2019,Broj,Kanton 10,Tehničke škole,Oba spola,
2019,Broj,Kanton 10,Stručne škole,Oba spola,
2019,Broj,Kanton 10,Umjetničke škole,Oba spola,
2019,Broj,Kanton 10,Vjerske škole,Oba spola,
