Year,UNIT_MEASURE,Oпштина,Literacy,Пол,Value
2013,Број,Травник,Непознато,Ж,538
2013,Број,trnovo-fbih,Непознато,Ж,4
2013,Број,Тузла,Непознато,Ж,432
2013,Број,Усора,Непознато,Ж,36
2013,Број,Вареш,Непознато,Ж,53
2013,Број,Велика Кладуша,Непознато,Ж,222
2013,Број,Високо,Непознато,Ж,155
2013,Број,Витез,Непознато,Ж,235
2013,Број,vogosca,Непознато,Ж,92
2013,Број,Завидовићи,Непознато,Ж,237
2013,Број,Зеница,Непознато,Ж,438
2013,Број,Жепче,Непознато,Ж,186
2013,Број,Живинице,Непознато,Ж,266
