Year,UNIT_MEASURE,Administrativna jedinica,Spol,Value
2015,Broj,Sarajevska županija,M,2108
2016,Broj,Sarajevska županija,M,2002
2017,Broj,Sarajevska županija,M,1996
2018,Broj,Sarajevska županija,M,2042
2019,Broj,Sarajevska županija,M,2024
2020,Broj,Sarajevska županija,M,1917
2021,Broj,Sarajevska županija,M,1993
2022,Broj,Sarajevska županija,M,1990
2010,Broj,Sarajevska županija,Ž,2656
2011,Broj,Sarajevska županija,Ž,2910
2012,Broj,Sarajevska županija,Ž,2277
2013,Broj,Sarajevska županija,Ž,1277
2014,Broj,Sarajevska županija,Ž,2187
2015,Broj,Sarajevska županija,Ž,2075
2016,Broj,Sarajevska županija,Ž,1895
2017,Broj,Sarajevska županija,Ž,1904
2018,Broj,Sarajevska županija,Ž,1884
2019,Broj,Sarajevska županija,Ž,1814
2020,Broj,Sarajevska županija,Ž,1787
2021,Broj,Sarajevska županija,Ž,1897
2022,Broj,Sarajevska županija,Ž,1967
2010,Broj,Županija 10,Oba spola,736
2011,Broj,Županija 10,Oba spola,859
2012,Broj,Županija 10,Oba spola,853
2013,Broj,Županija 10,Oba spola,723
2014,Broj,Županija 10,Oba spola,727
2015,Broj,Županija 10,Oba spola,412
2016,Broj,Županija 10,Oba spola,585
2017,Broj,Županija 10,Oba spola,609
2018,Broj,Županija 10,Oba spola,611
2019,Broj,Županija 10,Oba spola,559
2020,Broj,Županija 10,Oba spola,505
2021,Broj,Županija 10,Oba spola,507
2022,Broj,Županija 10,Oba spola,439
2010,Broj,Županija 10,M,387
2011,Broj,Županija 10,M,419
2012,Broj,Županija 10,M,393
2013,Broj,Županija 10,M,398
2014,Broj,Županija 10,M,372
2015,Broj,Županija 10,M,209
2016,Broj,Županija 10,M,293
2017,Broj,Županija 10,M,323
2018,Broj,Županija 10,M,312
2019,Broj,Županija 10,M,276
2020,Broj,Županija 10,M,281
2021,Broj,Županija 10,M,253
2022,Broj,Županija 10,M,221
2010,Broj,Županija 10,Ž,349
2011,Broj,Županija 10,Ž,440
2012,Broj,Županija 10,Ž,460
2013,Broj,Županija 10,Ž,325
2014,Broj,Županija 10,Ž,355
2015,Broj,Županija 10,Ž,203
2016,Broj,Županija 10,Ž,292
2017,Broj,Županija 10,Ž,286
2018,Broj,Županija 10,Ž,299
2019,Broj,Županija 10,Ž,283
2020,Broj,Županija 10,Ž,224
2021,Broj,Županija 10,Ž,254
2022,Broj,Županija 10,Ž,218
