Year,UNIT_MEASURE,ADMIN_AREA,SEX,Disabilities,Value
2013,NUMBER,novi_grad_sarajevo,_T,hearing,2297
2013,NUMBER,novi_travnik,_T,hearing,473
2013,NUMBER,novo_sarajevo,_T,hearing,1142
2013,NUMBER,odzak,_T,hearing,271
2013,NUMBER,olovo,_T,hearing,295
2013,NUMBER,orasje,_T,hearing,387
2013,NUMBER,pale-fbih,_T,hearing,47
2013,NUMBER,posusje,_T,hearing,292
2013,NUMBER,prozor,_T,hearing,180
2013,NUMBER,ravno,_T,hearing,43
2013,NUMBER,sanski_most,_T,hearing,556
2013,NUMBER,sapna,_T,hearing,148
2013,NUMBER,srebrenik,_T,hearing,974
2013,NUMBER,stari_grad_sarajevo,_T,hearing,857
2013,NUMBER,stolac,_T,hearing,241
2013,NUMBER,siroki_brijeg,_T,hearing,338
2013,NUMBER,teocak,_T,hearing,116
2013,NUMBER,tesanj,_T,hearing,611
2013,NUMBER,tomislavgrad,_T,hearing,270
2013,NUMBER,travnik,_T,hearing,878
2013,NUMBER,trnovo-fbih,_T,hearing,46
2013,NUMBER,tuzla,_T,hearing,2945
2013,NUMBER,usora,_T,hearing,111
2013,NUMBER,vares,_T,hearing,274
2013,NUMBER,velika_kladusa,_T,hearing,881
2013,NUMBER,visoko,_T,hearing,606
2013,NUMBER,vitez,_T,hearing,493
2013,NUMBER,vogosca,_T,hearing,581
2013,NUMBER,zavidovici,_T,hearing,814
2013,NUMBER,zenica,_T,hearing,2012
2013,NUMBER,zepce,_T,hearing,507
2013,NUMBER,zivinice,_T,hearing,1375
2013,NUMBER,banovici,M,hearing,151
2013,NUMBER,bihac,M,hearing,586
2013,NUMBER,bosanska_krupa,M,hearing,369
2013,NUMBER,bosanski_petrovac,M,hearing,92
2013,NUMBER,bosansko_grahovo,M,hearing,48
2013,NUMBER,breza,M,hearing,133
2013,NUMBER,bugojno,M,hearing,254
2013,NUMBER,busovaca,M,hearing,169
2013,NUMBER,buzim,M,hearing,180
2013,NUMBER,cazin,M,hearing,570
2013,NUMBER,centar_sarajevo,M,hearing,475
2013,NUMBER,capljina,M,hearing,231
2013,NUMBER,celic,M,hearing,130
2013,NUMBER,citluk,M,hearing,155
2013,NUMBER,doboj-istok,M,hearing,135
2013,NUMBER,doboj-jug,M,hearing,40
2013,NUMBER,dobretici,M,hearing,29
2013,NUMBER,domaljevac-samac,M,hearing,54
2013,NUMBER,donji_vakuf,M,hearing,138
2013,NUMBER,drvar,M,hearing,117
2013,NUMBER,foca-fbih,M,hearing,20
2013,NUMBER,fojnica,M,hearing,129
2013,NUMBER,glamoc,M,hearing,75
2013,NUMBER,gorazde,M,hearing,279
2013,NUMBER,gornji_vakuf-uskoplje,M,hearing,180
2013,NUMBER,gracanica,M,hearing,342
2013,NUMBER,gradacac,M,hearing,295
2013,NUMBER,grude,M,hearing,112
2013,NUMBER,hadzici,M,hearing,249
2013,NUMBER,ilidza,M,hearing,569
2013,NUMBER,ilijas,M,hearing,178
2013,NUMBER,jablanica,M,hearing,74
2013,NUMBER,jajce,M,hearing,245
2013,NUMBER,kakanj,M,hearing,281
2013,NUMBER,kalesija,M,hearing,327
2013,NUMBER,kiseljak,M,hearing,175
2013,NUMBER,kladanj,M,hearing,125
2013,NUMBER,kljuc,M,hearing,107
2013,NUMBER,konjic,M,hearing,223
