Year,UNIT_MEASURE,Administrativna jedinica,Spol,Value
2011,Broj,Zapadno-hercegovačka županija,M,6
2012,Broj,Zapadno-hercegovačka županija,M,8
2013,Broj,Zapadno-hercegovačka županija,M,8
2014,Broj,Zapadno-hercegovačka županija,M,4
2015,Broj,Zapadno-hercegovačka županija,M,5
2016,Broj,Zapadno-hercegovačka županija,M,7
2017,Broj,Zapadno-hercegovačka županija,M,6
2018,Broj,Zapadno-hercegovačka županija,M,6
2019,Broj,Zapadno-hercegovačka županija,M,2
2020,Broj,Zapadno-hercegovačka županija,M,7
2021,Broj,Zapadno-hercegovačka županija,M,10
2022,Broj,Zapadno-hercegovačka županija,M,7
2010,Broj,Zapadno-hercegovačka županija,Ž,13
2011,Broj,Zapadno-hercegovačka županija,Ž,7
2012,Broj,Zapadno-hercegovačka županija,Ž,11
2013,Broj,Zapadno-hercegovačka županija,Ž,9
2014,Broj,Zapadno-hercegovačka županija,Ž,5
2015,Broj,Zapadno-hercegovačka županija,Ž,11
2016,Broj,Zapadno-hercegovačka županija,Ž,8
2017,Broj,Zapadno-hercegovačka županija,Ž,19
2018,Broj,Zapadno-hercegovačka županija,Ž,10
2019,Broj,Zapadno-hercegovačka županija,Ž,4
2020,Broj,Zapadno-hercegovačka županija,Ž,10
2021,Broj,Zapadno-hercegovačka županija,Ž,21
2022,Broj,Zapadno-hercegovačka županija,Ž,20
2010,Broj,Sarajevska županija,Oba spola,5026
2011,Broj,Sarajevska županija,Oba spola,5158
2012,Broj,Sarajevska županija,Oba spola,5891
2013,Broj,Sarajevska županija,Oba spola,6109
2014,Broj,Sarajevska županija,Oba spola,5322
2015,Broj,Sarajevska županija,Oba spola,5151
2016,Broj,Sarajevska županija,Oba spola,5551
2017,Broj,Sarajevska županija,Oba spola,5018
2018,Broj,Sarajevska županija,Oba spola,5215
2019,Broj,Sarajevska županija,Oba spola,5144
2020,Broj,Sarajevska županija,Oba spola,5153
2021,Broj,Sarajevska županija,Oba spola,4985
2022,Broj,Sarajevska županija,Oba spola,4495
2010,Broj,Sarajevska županija,M,2018
2011,Broj,Sarajevska županija,M,2180
2012,Broj,Sarajevska županija,M,2340
2013,Broj,Sarajevska županija,M,2531
2014,Broj,Sarajevska županija,M,2183
2015,Broj,Sarajevska županija,M,2130
2016,Broj,Sarajevska županija,M,2085
2017,Broj,Sarajevska županija,M,1937
2018,Broj,Sarajevska županija,M,2011
2019,Broj,Sarajevska županija,M,1924
2020,Broj,Sarajevska županija,M,2015
2021,Broj,Sarajevska županija,M,1757
2022,Broj,Sarajevska županija,M,1503
2010,Broj,Sarajevska županija,Ž,3008
2011,Broj,Sarajevska županija,Ž,2978
2012,Broj,Sarajevska županija,Ž,3551
2013,Broj,Sarajevska županija,Ž,3578
2014,Broj,Sarajevska županija,Ž,3139
2015,Broj,Sarajevska županija,Ž,3021
2016,Broj,Sarajevska županija,Ž,3466
2017,Broj,Sarajevska županija,Ž,3081
2018,Broj,Sarajevska županija,Ž,3204
2019,Broj,Sarajevska županija,Ž,3220
2020,Broj,Sarajevska županija,Ž,3138
2021,Broj,Sarajevska županija,Ž,3228
2022,Broj,Sarajevska županija,Ž,2992
