Year,UNIT_MEASURE,Administrativna jedinica,Brojnost kućanstava,Value
2023,Broj,Sarajevo-Ilidža,3,4784
2023,Broj,Sarajevo-Ilijaš,3,1399
2023,Broj,Sarajevo-Novi Grad,3,9682
2023,Broj,Sarajevo-Novo Sarajevo,3,5402
2023,Broj,Sarajevo-Stari Grad,3,2857
2023,Broj,Trnovo-FBiH,3,90
2023,Broj,Sarajevo-Vogošća,3,2061
2023,Broj,Županija 10,3,3748
2023,Broj,Bosansko Grahovo,3,162
2023,Broj,Drvar,3,470
2023,Broj,Glamoč,3,198
2023,Broj,kupres,3,281
2023,Broj,Livno,3,1463
2023,Broj,Tomislavgrad,3,1174
2023,Broj,Federacija Bosne i Hercegovine,4,154944
2023,Broj,Unsko-sanska županija,4,17510
2023,Broj,Bihać,4,3933
2023,Broj,Bosanska Krupa,4,1672
2023,Broj,Bosanski Petrovac,4,453
2023,Broj,Bužim,4,1044
2023,Broj,Cazin,4,4036
2023,Broj,Ključ,4,1144
2023,Broj,Sanski Most,4,2706
2023,Broj,Velika Kladuša,4,2522
2023,Broj,Posavska županija,4,2606
2023,Broj,Domaljevac-Šamac,4,253
2023,Broj,Odžak,4,1134
2023,Broj,Orašje,4,1219
2023,Broj,Tuzlanska županija,4,33863
2023,Broj,Banovići,4,1948
2023,Broj,Čelić,4,719
2023,Broj,Doboj-Istok,4,807
2023,Broj,Gračanica,4,3457
2023,Broj,Gradačac,4,2695
2023,Broj,Kalesija,4,2687
2023,Broj,Kladanj,4,1023
2023,Broj,Lukavac,4,3309
2023,Broj,Sapna,4,839
2023,Broj,Srebrenik,4,3052
2023,Broj,Teočak,4,485
2023,Broj,Tuzla,4,7999
2023,Broj,Živinice,4,4843
2023,Broj,Zeničko-dobojska županija,4,28049
2023,Broj,Breza,4,1102
2023,Broj,Doboj-Jug,4,337
2023,Broj,Kakanj,4,3099
2023,Broj,Maglaj,4,1746
2023,Broj,Olovo,4,787
2023,Broj,Tešanj,4,3473
2023,Broj,Usora,4,461
2023,Broj,Vareš,4,588
2023,Broj,Visoko,4,3164
2023,Broj,Zavidovići,4,2920
2023,Broj,Zenica,4,8336
2023,Broj,Žepče,4,2036
2023,Broj,Bosansko-podrinjska županija,4,1719
2023,Broj,Foča-FBiH,4,132
2023,Broj,Goražde,4,1529
2023,Broj,Pale-FBiH,4,58
2023,Broj,Srednjobosanska županija,4,17704
2023,Broj,Bugojno,4,2159
2023,Broj,Busovača,4,1372
2023,Broj,Dobretići,4,93
2023,Broj,Donji Vakuf,4,1043
2023,Broj,Fojnica,4,867
2023,Broj,Gornji Vakuf-Uskoplje,4,1283
2023,Broj,Jajce,4,1738
2023,Broj,Kiseljak,4,1547
2023,Broj,Kreševo,4,382
