Year,UNIT_MEASURE,Općina,Vitalna statistika,Value
2013,Broj,Glamoč,Pet i više djece,77
2013,Broj,Goražde,Pet i više djece,371
2013,Broj,Gornji Vakuf-Uskoplje,Pet i više djece,803
2013,Broj,Gračanica,Pet i više djece,804
2013,Broj,Gradačac,Pet i više djece,636
2013,Broj,Grude,Pet i više djece,467
2013,Broj,Sarajevo-Hadžići,Pet i više djece,388
2013,Broj,Sarajevo-Ilidža,Pet i više djece,888
2013,Broj,Sarajevo-Ilijaš,Pet i više djece,466
2013,Broj,Jablanica,Pet i više djece,313
2013,Broj,Jajce,Pet i više djece,1160
2013,Broj,Kakanj,Pet i više djece,1128
2013,Broj,Kalesija,Pet i više djece,879
2013,Broj,Kiseljak,Pet i više djece,459
2013,Broj,Kladanj,Pet i više djece,332
2013,Broj,Ključ,Pet i više djece,610
2013,Broj,Konjic,Pet i više djece,679
2013,Broj,Kreševo,Pet i više djece,117
2013,Broj,Kupres-FBiH,Pet i više djece,170
2013,Broj,Livno,Pet i više djece,869
2013,Broj,Lukavac,Pet i više djece,614
2013,Broj,Ljubuški,Pet i više djece,683
2013,Broj,Maglaj,Pet i više djece,547
2013,Broj,Mostar,Pet i više djece,1366
2013,Broj,Neum,Pet i više djece,141
2013,Broj,Sarajevo-Novi Grad,Pet i više djece,1226
2013,Broj,Novi Travnik,Pet i više djece,777
2013,Broj,Sarajevo-Novo Sarajevo,Pet i više djece,367
2013,Broj,Odžak,Pet i više djece,319
2013,Broj,Olovo,Pet i više djece,319
2013,Broj,Orašje,Pet i više djece,598
2013,Broj,Pale-FBiH,Pet i više djece,33
2013,Broj,Posušje,Pet i više djece,795
2013,Broj,Prozor,Pet i više djece,776
2013,Broj,Ravno,Pet i više djece,18
2013,Broj,Sanski Most,Pet i više djece,1059
2013,Broj,Sapna,Pet i više djece,361
2013,Broj,Srebrenik,Pet i više djece,902
2013,Broj,Sarajevo-Stari Grad,Pet i više djece,323
2013,Broj,Stolac,Pet i više djece,347
2013,Broj,Široki Brijeg,Pet i više djece,863
2013,Broj,Teočak,Pet i više djece,180
2013,Broj,Tešanj,Pet i više djece,986
2013,Broj,Tomislavgrad,Pet i više djece,970
2013,Broj,Travnik,Pet i više djece,1485
2013,Broj,Trnovo-FBiH,Pet i više djece,40
