Year,UNIT_MEASURE,Administrativna jedinica,Vrsta škole,Spol,Value
2019,Broj,Županija 10,Tehničke škole,Oba spola,
2019,Broj,Županija 10,Stručne škole,Oba spola,
2019,Broj,Županija 10,Umjetničke škole,Oba spola,
2019,Broj,Županija 10,Vjerske škole,Oba spola,
2019,Broj,Županija 10,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2020,Broj,Županija 10,Gimnazija,Oba spola,
2020,Broj,Županija 10,Tehničke škole,Oba spola,
2020,Broj,Županija 10,Stručne škole,Oba spola,
2020,Broj,Županija 10,Umjetničke škole,Oba spola,
2020,Broj,Županija 10,Vjerske škole,Oba spola,
2020,Broj,Županija 10,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2016,Broj,Federacija Bosne i Hercegovine,Gimnazija,M,
2016,Broj,Federacija Bosne i Hercegovine,Tehničke škole,M,
2016,Broj,Federacija Bosne i Hercegovine,Stručne škole,M,
2016,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,M,
2016,Broj,Federacija Bosne i Hercegovine,Vjerske škole,M,
2016,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvitku,M,
2017,Broj,Federacija Bosne i Hercegovine,Gimnazija,M,
2017,Broj,Federacija Bosne i Hercegovine,Tehničke škole,M,
2017,Broj,Federacija Bosne i Hercegovine,Stručne škole,M,
2017,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,M,
2017,Broj,Federacija Bosne i Hercegovine,Vjerske škole,M,
2017,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvitku,M,
2018,Broj,Federacija Bosne i Hercegovine,Gimnazija,M,
2018,Broj,Federacija Bosne i Hercegovine,Tehničke škole,M,
2018,Broj,Federacija Bosne i Hercegovine,Stručne škole,M,
2018,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,M,
2018,Broj,Federacija Bosne i Hercegovine,Vjerske škole,M,
2018,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvitku,M,
2019,Broj,Federacija Bosne i Hercegovine,Gimnazija,M,
2019,Broj,Federacija Bosne i Hercegovine,Tehničke škole,M,
2019,Broj,Federacija Bosne i Hercegovine,Stručne škole,M,
2019,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,M,
2019,Broj,Federacija Bosne i Hercegovine,Vjerske škole,M,
2019,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvitku,M,
2020,Broj,Federacija Bosne i Hercegovine,Gimnazija,M,
2020,Broj,Federacija Bosne i Hercegovine,Tehničke škole,M,
2020,Broj,Federacija Bosne i Hercegovine,Stručne škole,M,
2020,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,M,
2020,Broj,Federacija Bosne i Hercegovine,Vjerske škole,M,
2020,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvitku,M,
2016,Broj,Unsko-sanska županija,Gimnazija,M,
2016,Broj,Unsko-sanska županija,Tehničke škole,M,
2016,Broj,Unsko-sanska županija,Stručne škole,M,
2016,Broj,Unsko-sanska županija,Umjetničke škole,M,
2016,Broj,Unsko-sanska županija,Vjerske škole,M,
2016,Broj,Unsko-sanska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2017,Broj,Unsko-sanska županija,Gimnazija,M,
2017,Broj,Unsko-sanska županija,Tehničke škole,M,
2017,Broj,Unsko-sanska županija,Stručne škole,M,
2017,Broj,Unsko-sanska županija,Umjetničke škole,M,
2017,Broj,Unsko-sanska županija,Vjerske škole,M,
2017,Broj,Unsko-sanska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2018,Broj,Unsko-sanska županija,Gimnazija,M,
2018,Broj,Unsko-sanska županija,Tehničke škole,M,
2018,Broj,Unsko-sanska županija,Stručne škole,M,
2018,Broj,Unsko-sanska županija,Umjetničke škole,M,
2018,Broj,Unsko-sanska županija,Vjerske škole,M,
2018,Broj,Unsko-sanska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2019,Broj,Unsko-sanska županija,Gimnazija,M,
2019,Broj,Unsko-sanska županija,Tehničke škole,M,
2019,Broj,Unsko-sanska županija,Stručne škole,M,
2019,Broj,Unsko-sanska županija,Umjetničke škole,M,
2019,Broj,Unsko-sanska županija,Vjerske škole,M,
2019,Broj,Unsko-sanska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2020,Broj,Unsko-sanska županija,Gimnazija,M,
