Year,UNIT_MEASURE,Admin_Area,Пол,Value
2013,Број,tuzla_canton,Оба пола,73700.0
2013,Број,zenica-doboj_canton,Оба пола,64654.0
2013,Број,bosnian-podrinje_canton,Оба пола,
2013,Број,central_bosnia_canton,Оба пола,18573.0
2013,Број,herzegovina-neretva_canton,Оба пола,16085.0
2013,Број,west_herzegovina_canton,Оба пола,4371.0
2013,Број,sarajevo_canton,Оба пола,108806.0
2013,Број,canton_10,Оба пола,5394.0
2013,Број,federation_of_bih,M,150170.0
2013,Број,una-sana_canton,M,8082.0
2013,Број,posavina_canton,M,173.0
2013,Број,tuzla_canton,M,28461.0
2013,Број,zenica-doboj_canton,M,29657.0
2013,Број,bosnian-podrinje_canton,M,
2013,Број,central_bosnia_canton,M,8949.0
2013,Број,herzegovina-neretva_canton,M,7054.0
2013,Број,west_herzegovina_canton,M,2151.0
2013,Број,sarajevo_canton,M,63206.0
2013,Број,canton_10,M,2437.0
2013,Број,federation_of_bih,Ж,162820.0
2013,Број,una-sana_canton,Ж,12902.0
2013,Број,posavina_canton,Ж,250.0
2013,Број,tuzla_canton,Ж,45239.0
2013,Број,zenica-doboj_canton,Ж,34997.0
2013,Број,bosnian-podrinje_canton,Ж,
2013,Број,central_bosnia_canton,Ж,9624.0
2013,Број,herzegovina-neretva_canton,Ж,9031.0
2013,Број,west_herzegovina_canton,Ж,2220.0
2013,Број,sarajevo_canton,Ж,45600.0
2013,Број,canton_10,Ж,2957.0
2014,Број,federation_of_bih,Оба пола,300743.0
2014,Број,una-sana_canton,Оба пола,21524.0
2014,Број,posavina_canton,Оба пола,975.0
2014,Број,tuzla_canton,Оба пола,63748.0
2014,Број,zenica-doboj_canton,Оба пола,59350.0
2014,Број,bosnian-podrinje_canton,Оба пола,10433.0
2014,Број,central_bosnia_canton,Оба пола,19890.0
2014,Број,herzegovina-neretva_canton,Оба пола,17882.0
2014,Број,west_herzegovina_canton,Оба пола,3530.0
2014,Број,sarajevo_canton,Оба пола,97948.0
2014,Број,canton_10,Оба пола,5463.0
2014,Број,federation_of_bih,M,143250.0
2014,Број,una-sana_canton,M,9405.0
2014,Број,posavina_canton,M,445.0
2014,Број,tuzla_canton,M,29484.0
2014,Број,zenica-doboj_canton,M,26577.0
2014,Број,bosnian-podrinje_canton,M,3283.0
2014,Број,central_bosnia_canton,M,9722.0
2014,Број,herzegovina-neretva_canton,M,7567.0
2014,Број,west_herzegovina_canton,M,1564.0
2014,Број,sarajevo_canton,M,52841.0
2014,Број,canton_10,M,2362.0
2014,Број,federation_of_bih,Ж,157493.0
2014,Број,una-sana_canton,Ж,12119.0
2014,Број,posavina_canton,Ж,530.0
2014,Број,tuzla_canton,Ж,34264.0
2014,Број,zenica-doboj_canton,Ж,32773.0
2014,Број,bosnian-podrinje_canton,Ж,7150.0
2014,Број,central_bosnia_canton,Ж,10168.0
2014,Број,herzegovina-neretva_canton,Ж,10315.0
2014,Број,west_herzegovina_canton,Ж,1966.0
2014,Број,sarajevo_canton,Ж,45107.0
2014,Број,canton_10,Ж,3101.0
2015,Број,federation_of_bih,Оба пола,283575.0
2015,Број,una-sana_canton,Оба пола,21810.0
2015,Број,posavina_canton,Оба пола,1041.0
2015,Број,tuzla_canton,Оба пола,63009.0
2015,Број,zenica-doboj_canton,Оба пола,55022.0
2015,Број,bosnian-podrinje_canton,Оба пола,11535.0
2015,Број,central_bosnia_canton,Оба пола,17407.0
2015,Број,herzegovina-neretva_canton,Оба пола,17673.0
2015,Број,west_herzegovina_canton,Оба пола,3614.0
