Year,UNIT-MEASURE,Административна јединица,Пол,Највиша завршена школа,Value
2013,Број,Средњобосански кантон,Ж,Без образовања,8977
2013,Број,Средњобосански кантон,Ж,Непотпуно основно образовање,16622
2013,Број,Средњобосански кантон,Ж,Основна школа,28299
2013,Број,Средњобосански кантон,Ж,Средња школа,43466
2013,Број,Средњобосански кантон,Ж,Специјализација послије средње школе,189
2013,Број,Средњобосански кантон,Ж,Виша школа и први степен факултета,2300
2013,Број,Средњобосански кантон,Ж,Висока школа / факултет / академија / универзитет,6616
2013,Број,Херцеговачко-неретвански кантон,Ж,Укупно,96219
2013,Број,Херцеговачко-неретвански кантон,Ж,Без образовања,5742
2013,Број,Херцеговачко-неретвански кантон,Ж,Непотпуно основно образовање,9991
2013,Број,Херцеговачко-неретвански кантон,Ж,Основна школа,19610
2013,Број,Херцеговачко-неретвански кантон,Ж,Средња школа,44167
2013,Број,Херцеговачко-неретвански кантон,Ж,Специјализација послије средње школе,249
2013,Број,Херцеговачко-неретвански кантон,Ж,Виша школа и први степен факултета,3797
2013,Број,Херцеговачко-неретвански кантон,Ж,Висока школа / факултет / академија / универзитет,12663
2013,Број,Западнохерцеговчки кантон,Ж,Укупно,39369
2013,Број,Западнохерцеговчки кантон,Ж,Без образовања,2510
2013,Број,Западнохерцеговчки кантон,Ж,Непотпуно основно образовање,4195
2013,Број,Западнохерцеговчки кантон,Ж,Основна школа,6518
2013,Број,Западнохерцеговчки кантон,Ж,Средња школа,19340
2013,Број,Западнохерцеговчки кантон,Ж,Специјализација послије средње школе,130
2013,Број,Западнохерцеговчки кантон,Ж,Виша школа и први степен факултета,1798
2013,Број,Западнохерцеговчки кантон,Ж,Висока школа / факултет / академија / универзитет,4878
2013,Број,Кантон Сарајево,Ж,Укупно,187635
2013,Број,Кантон Сарајево,Ж,Без образовања,8349
2013,Број,Кантон Сарајево,Ж,Непотпуно основно образовање,12101
2013,Број,Кантон Сарајево,Ж,Основна школа,35528
2013,Број,Кантон Сарајево,Ж,Средња школа,87633
2013,Број,Кантон Сарајево,Ж,Специјализација послије средње школе,447
2013,Број,Кантон Сарајево,Ж,Виша школа и први степен факултета,6841
2013,Број,Кантон Сарајево,Ж,Висока школа / факултет / академија / универзитет,36736
2013,Број,Кантон 10,Ж,Укупно,36041
2013,Број,Кантон 10,Ж,Без образовања,3106
2013,Број,Кантон 10,Ж,Непотпуно основно образовање,4766
2013,Број,Кантон 10,Ж,Основна школа,7161
2013,Број,Кантон 10,Ж,Средња школа,15717
2013,Број,Кантон 10,Ж,Специјализација послије средње школе,99
2013,Број,Кантон 10,Ж,Виша школа и први степен факултета,1450
2013,Број,Кантон 10,Ж,Висока школа / факултет / академија / универзитет,3742
