Year,UNIT_MEASURE,Пол,Admin Area,Витална статистика,Value
2014,Број,Ж,posavina_canton,Умрли,
2014,Број,Ж,tuzla_canton,Умрли,
2014,Број,Ж,zenica-doboj_canton,Умрли,
2014,Број,Ж,bosnian-podrinje_canton,Умрли,
2014,Број,Ж,central_bosnia_canton,Умрли,
2014,Број,Ж,herzegovina-neretva_canton,Умрли,
2014,Број,Ж,west_herzegovina_canton,Умрли,
2014,Број,Ж,sarajevo_canton,Умрли,
2014,Број,Ж,canton_10,Умрли,
2015,Број,Оба пола,federation_of_bih,Умрли,
2015,Број,Оба пола,una-sana_canton,Умрли,
2015,Број,Оба пола,posavina_canton,Умрли,
2015,Број,Оба пола,tuzla_canton,Умрли,
2015,Број,Оба пола,zenica-doboj_canton,Умрли,
2015,Број,Оба пола,bosnian-podrinje_canton,Умрли,
2015,Број,Оба пола,central_bosnia_canton,Умрли,
2015,Број,Оба пола,herzegovina-neretva_canton,Умрли,
2015,Број,Оба пола,west_herzegovina_canton,Умрли,
2015,Број,Оба пола,sarajevo_canton,Умрли,
2015,Број,Оба пола,canton_10,Умрли,
2015,Број,M,federation_of_bih,Умрли,
2015,Број,M,una-sana_canton,Умрли,
2015,Број,M,posavina_canton,Умрли,
2015,Број,M,tuzla_canton,Умрли,
2015,Број,M,zenica-doboj_canton,Умрли,
2015,Број,M,bosnian-podrinje_canton,Умрли,
2015,Број,M,central_bosnia_canton,Умрли,
2015,Број,M,herzegovina-neretva_canton,Умрли,
2015,Број,M,west_herzegovina_canton,Умрли,
2015,Број,M,sarajevo_canton,Умрли,
2015,Број,M,canton_10,Умрли,
2015,Број,Ж,federation_of_bih,Умрли,
2015,Број,Ж,una-sana_canton,Умрли,
