Year,UNIT_MEASURE,Municipality,Пол,AGE,Value
2013,Број,teocak,Оба пола,20-24,589
2013,Број,tesanj,Оба пола,20-24,3223
2013,Број,tomislavgrad,Оба пола,20-24,2189
2013,Број,travnik,Оба пола,20-24,3580
2013,Број,trnovo-fbih,Оба пола,20-24,68
2013,Број,tuzla,Оба пола,20-24,7029
2013,Број,usora,Оба пола,20-24,469
2013,Број,vares,Оба пола,20-24,514
2013,Број,velika_kladusa,Оба пола,20-24,3097
2013,Број,visoko,Оба пола,20-24,2752
2013,Број,vitez,Оба пола,20-24,1873
2013,Број,vogosca,Оба пола,20-24,1876
2013,Број,zavidovici,Оба пола,20-24,2503
2013,Број,zenica,Оба пола,20-24,7463
2013,Број,zepce,Оба пола,20-24,2134
2013,Број,zivinice,Оба пола,20-24,4750
2013,Број,banovici,Оба пола,25-29,1806
2013,Број,bihac,Оба пола,25-29,4061
2013,Број,bosanska_krupa,Оба пола,25-29,1879
2013,Број,bosanski_petrovac,Оба пола,25-29,378
2013,Број,bosansko_grahovo,Оба пола,25-29,113
2013,Број,breza,Оба пола,25-29,1036
2013,Број,bugojno,Оба пола,25-29,2365
2013,Број,busovaca,Оба пола,25-29,1467
2013,Број,buzim,Оба пола,25-29,1611
2013,Број,cazin,Оба пола,25-29,5415
2013,Број,centar_sarajevo,Оба пола,25-29,3995
2013,Број,capljina,Оба пола,25-29,1734
2013,Број,celic,Оба пола,25-29,671
2013,Број,citluk,Оба пола,25-29,1261
2013,Број,doboj-istok,Оба пола,25-29,721
2013,Број,doboj-jug,Оба пола,25-29,285
2013,Број,dobretici,Оба пола,25-29,144
2013,Број,domaljevac-samac,Оба пола,25-29,298
2013,Број,donji_vakuf,Оба пола,25-29,999
2013,Број,drvar,Оба пола,25-29,348
2013,Број,foca-fbih,Оба пола,25-29,110
2013,Број,fojnica,Оба пола,25-29,824
2013,Број,glamoc,Оба пола,25-29,193
2013,Број,gorazde,Оба пола,25-29,1450
2013,Број,gornji_vakuf-uskoplje,Оба пола,25-29,1501
2013,Број,gracanica,Оба пола,25-29,3286
2013,Број,gradacac,Оба пола,25-29,2653
2013,Број,grude,Оба пола,25-29,1064
2013,Број,hadzici,Оба пола,25-29,1836
2013,Број,ilidza,Оба пола,25-29,5189
2013,Број,ilijas,Оба пола,25-29,1441
2013,Број,jablanica,Оба пола,25-29,821
2013,Број,jajce,Оба пола,25-29,2020
2013,Број,kakanj,Оба пола,25-29,2882
2013,Број,kalesija,Оба пола,25-29,2638
2013,Број,kiseljak,Оба пола,25-29,1523
2013,Број,kladanj,Оба пола,25-29,892
2013,Број,kljuc,Оба пола,25-29,1192
2013,Број,konjic,Оба пола,25-29,1636
2013,Број,kresevo,Оба пола,25-29,383
2013,Број,krupa_na_uni,Оба пола,25-29,66
2013,Број,kupres-fbih,Оба пола,25-29,310
2013,Број,livno,Оба пола,25-29,2355
2013,Број,lukavac,Оба пола,25-29,3255
2013,Број,ljubuski,Оба пола,25-29,1962
2013,Број,maglaj,Оба пола,25-29,1604
2013,Број,mostar,Оба пола,25-29,7781
2013,Број,neum,Оба пола,25-29,305
2013,Број,novi_grad_sarajevo,Оба пола,25-29,9236
2013,Број,novi_travnik,Оба пола,25-29,1925
2013,Број,novo_sarajevo,Оба пола,25-29,5196
2013,Број,odzak,Оба пола,25-29,1196
2013,Број,olovo,Оба пола,25-29,667
2013,Број,orasje,Оба пола,25-29,1329
2013,Број,pale-fbih,Оба пола,25-29,42
2013,Број,posusje,Оба пола,25-29,1481
2013,Број,prozor,Оба пола,25-29,1006
2013,Број,ravno,Оба пола,25-29,215
2013,Број,sanski_most,Оба пола,25-29,3049
2013,Број,sapna,Оба пола,25-29,806
2013,Број,srebrenik,Оба пола,25-29,2952
2013,Број,stari_grad_sarajevo,Оба пола,25-29,2822
2013,Број,stolac,Оба пола,25-29,993
2013,Број,siroki_brijeg,Оба пола,25-29,2068
2013,Број,teocak,Оба пола,25-29,517
2013,Број,tesanj,Оба пола,25-29,3221
2013,Број,tomislavgrad,Оба пола,25-29,2082
2013,Број,travnik,Оба пола,25-29,3956
2013,Број,trnovo-fbih,Оба пола,25-29,69
2013,Број,tuzla,Оба пола,25-29,8282
2013,Број,usora,Оба пола,25-29,459
2013,Број,vares,Оба пола,25-29,523
2013,Број,velika_kladusa,Оба пола,25-29,3327
2013,Број,visoko,Оба пола,25-29,2935
2013,Број,vitez,Оба пола,25-29,1960
2013,Број,vogosca,Оба пола,25-29,2149
2013,Број,zavidovici,Оба пола,25-29,2702
2013,Број,zenica,Оба пола,25-29,8475
2013,Број,zepce,Оба пола,25-29,2303
2013,Број,zivinice,Оба пола,25-29,4567
2013,Број,banovici,Оба пола,30-34,1703
2013,Број,bihac,Оба пола,30-34,3814
2013,Број,bosanska_krupa,Оба пола,30-34,1763
2013,Број,bosanski_petrovac,Оба пола,30-34,414
2013,Број,bosansko_grahovo,Оба пола,30-34,121
2013,Број,breza,Оба пола,30-34,1063
2013,Број,bugojno,Оба пола,30-34,2247
2013,Број,busovaca,Оба пола,30-34,1328
2013,Број,buzim,Оба пола,30-34,1607
