Year,UNIT_MEASURE,Administrativna jedinica,Пол,Value
2019,Број,Kanton 10,Оба пола,1917.0
2010,Број,Kanton 10,M,
2011,Број,Kanton 10,M,
2012,Број,Kanton 10,M,
2013,Број,Kanton 10,M,
2014,Број,Kanton 10,M,
2015,Број,Kanton 10,M,
2016,Број,Kanton 10,M,
2017,Број,Kanton 10,M,
2018,Број,Kanton 10,M,
2019,Број,Kanton 10,M,
2010,Број,Kanton 10,Ж,
2011,Број,Kanton 10,Ж,
2012,Број,Kanton 10,Ж,
2013,Број,Kanton 10,Ж,
2014,Број,Kanton 10,Ж,
2015,Број,Kanton 10,Ж,
2016,Број,Kanton 10,Ж,
2017,Број,Kanton 10,Ж,
2018,Број,Kanton 10,Ж,
2019,Број,Kanton 10,Ж,
