Year,UNIT_MEASURE,Municipality,Пол,Disabilities,Value
2013,Број,glamoc,Оба пола,hearing,160
2013,Број,gorazde,Оба пола,hearing,585
2013,Број,gornji_vakuf-uskoplje,Оба пола,hearing,361
2013,Број,gracanica,Оба пола,hearing,728
2013,Број,gradacac,Оба пола,hearing,674
2013,Број,grude,Оба пола,hearing,265
2013,Број,hadzici,Оба пола,hearing,528
2013,Број,ilidza,Оба пола,hearing,1185
2013,Број,ilijas,Оба пола,hearing,382
2013,Број,jablanica,Оба пола,hearing,192
2013,Број,jajce,Оба пола,hearing,494
2013,Број,kakanj,Оба пола,hearing,590
2013,Број,kalesija,Оба пола,hearing,626
2013,Број,kiseljak,Оба пола,hearing,351
2013,Број,kladanj,Оба пола,hearing,246
2013,Број,kljuc,Оба пола,hearing,226
2013,Број,konjic,Оба пола,hearing,491
2013,Број,kresevo,Оба пола,hearing,122
2013,Број,kupres-fbih,Оба пола,hearing,110
2013,Број,livno,Оба пола,hearing,448
2013,Број,lukavac,Оба пола,hearing,1252
2013,Број,ljubuski,Оба пола,hearing,414
2013,Број,maglaj,Оба пола,hearing,500
2013,Број,mostar,Оба пола,hearing,1743
2013,Број,neum,Оба пола,hearing,76
2013,Број,novi_grad_sarajevo,Оба пола,hearing,2297
2013,Број,novi_travnik,Оба пола,hearing,473
2013,Број,novo_sarajevo,Оба пола,hearing,1142
2013,Број,odzak,Оба пола,hearing,271
2013,Број,olovo,Оба пола,hearing,295
2013,Број,orasje,Оба пола,hearing,387
2013,Број,pale-fbih,Оба пола,hearing,47
2013,Број,posusje,Оба пола,hearing,292
2013,Број,prozor,Оба пола,hearing,180
2013,Број,ravno,Оба пола,hearing,43
2013,Број,sanski_most,Оба пола,hearing,556
2013,Број,sapna,Оба пола,hearing,148
2013,Број,srebrenik,Оба пола,hearing,974
2013,Број,stari_grad_sarajevo,Оба пола,hearing,857
2013,Број,stolac,Оба пола,hearing,241
2013,Број,siroki_brijeg,Оба пола,hearing,338
2013,Број,teocak,Оба пола,hearing,116
2013,Број,tesanj,Оба пола,hearing,611
2013,Број,tomislavgrad,Оба пола,hearing,270
2013,Број,travnik,Оба пола,hearing,878
2013,Број,trnovo-fbih,Оба пола,hearing,46
2013,Број,tuzla,Оба пола,hearing,2945
2013,Број,usora,Оба пола,hearing,111
2013,Број,vares,Оба пола,hearing,274
2013,Број,velika_kladusa,Оба пола,hearing,881
2013,Број,visoko,Оба пола,hearing,606
2013,Број,vitez,Оба пола,hearing,493
2013,Број,vogosca,Оба пола,hearing,581
2013,Број,zavidovici,Оба пола,hearing,814
2013,Број,zenica,Оба пола,hearing,2012
2013,Број,zepce,Оба пола,hearing,507
2013,Број,zivinice,Оба пола,hearing,1375
2013,Број,banovici,M,hearing,151
2013,Број,bihac,M,hearing,586
2013,Број,bosanska_krupa,M,hearing,369
2013,Број,bosanski_petrovac,M,hearing,92
2013,Број,bosansko_grahovo,M,hearing,48
2013,Број,breza,M,hearing,133
2013,Број,bugojno,M,hearing,254
2013,Број,busovaca,M,hearing,169
2013,Број,buzim,M,hearing,180
2013,Број,cazin,M,hearing,570
2013,Број,centar_sarajevo,M,hearing,475
2013,Број,capljina,M,hearing,231
2013,Број,celic,M,hearing,130
2013,Број,citluk,M,hearing,155
2013,Број,doboj-istok,M,hearing,135
2013,Број,doboj-jug,M,hearing,40
2013,Број,dobretici,M,hearing,29
2013,Број,domaljevac-samac,M,hearing,54
2013,Број,donji_vakuf,M,hearing,138
2013,Број,drvar,M,hearing,117
2013,Број,foca-fbih,M,hearing,20
2013,Број,fojnica,M,hearing,129
2013,Број,glamoc,M,hearing,75
2013,Број,gorazde,M,hearing,279
2013,Број,gornji_vakuf-uskoplje,M,hearing,180
2013,Број,gracanica,M,hearing,342
2013,Број,gradacac,M,hearing,295
2013,Број,grude,M,hearing,112
2013,Број,hadzici,M,hearing,249
2013,Број,ilidza,M,hearing,569
2013,Број,ilijas,M,hearing,178
2013,Број,jablanica,M,hearing,74
2013,Број,jajce,M,hearing,245
2013,Број,kakanj,M,hearing,281
2013,Број,kalesija,M,hearing,327
2013,Број,kiseljak,M,hearing,175
2013,Број,kladanj,M,hearing,125
2013,Број,kljuc,M,hearing,107
2013,Број,konjic,M,hearing,223
2013,Број,kresevo,M,hearing,57
2013,Број,kupres-fbih,M,hearing,52
2013,Број,livno,M,hearing,225
2013,Број,lukavac,M,hearing,581
2013,Број,ljubuski,M,hearing,192
2013,Број,maglaj,M,hearing,239
2013,Број,mostar,M,hearing,836
2013,Број,neum,M,hearing,37
2013,Број,novi_grad_sarajevo,M,hearing,1014
2013,Број,novi_travnik,M,hearing,247
2013,Број,novo_sarajevo,M,hearing,479
2013,Број,odzak,M,hearing,125
2013,Број,olovo,M,hearing,135
2013,Број,orasje,M,hearing,189
2013,Број,pale-fbih,M,hearing,24
2013,Број,posusje,M,hearing,166
2013,Број,prozor,M,hearing,88
2013,Број,ravno,M,hearing,23
2013,Број,sanski_most,M,hearing,274
2013,Број,sapna,M,hearing,76
2013,Број,srebrenik,M,hearing,433
2013,Број,stari_grad_sarajevo,M,hearing,389
2013,Број,stolac,M,hearing,105
2013,Број,siroki_brijeg,M,hearing,157
2013,Број,teocak,M,hearing,52
2013,Број,tesanj,M,hearing,310
2013,Број,tomislavgrad,M,hearing,127
2013,Број,travnik,M,hearing,402
2013,Број,trnovo-fbih,M,hearing,21
2013,Број,tuzla,M,hearing,1350
2013,Број,usora,M,hearing,54
2013,Број,vares,M,hearing,135
2013,Број,velika_kladusa,M,hearing,432
2013,Број,visoko,M,hearing,298
2013,Број,vitez,M,hearing,249
2013,Број,vogosca,M,hearing,282
2013,Број,zavidovici,M,hearing,428
2013,Број,zenica,M,hearing,990
2013,Број,zepce,M,hearing,273
2013,Број,zivinice,M,hearing,656
2013,Број,banovici,Ж,hearing,206
2013,Број,bihac,Ж,hearing,603
2013,Број,bosanska_krupa,Ж,hearing,282
2013,Број,bosanski_petrovac,Ж,hearing,96
2013,Број,bosansko_grahovo,Ж,hearing,36
2013,Број,breza,Ж,hearing,123
2013,Број,bugojno,Ж,hearing,297
2013,Број,busovaca,Ж,hearing,142
2013,Број,buzim,Ж,hearing,161
2013,Број,cazin,Ж,hearing,537
2013,Број,centar_sarajevo,Ж,hearing,574
