Year,UNIT_MEASURE,Oпштина,Пол,Education,Value
2013,Број,Груде,Ж,Непотпуно основно образовање,727
2013,Број,hadzici,Ж,Непотпуно основно образовање,1358
2013,Број,ilidza,Ж,Непотпуно основно образовање,2178
2013,Број,ilijas,Ж,Непотпуно основно образовање,1212
2013,Број,Јабланица,Ж,Непотпуно основно образовање,777
2013,Број,Јајце,Ж,Непотпуно основно образовање,2252
2013,Број,Какањ,Ж,Непотпуно основно образовање,2883
2013,Број,Калесија,Ж,Непотпуно основно образовање,2650
2013,Број,Кисељак,Ж,Непотпуно основно образовање,1380
2013,Број,Кладањ,Ж,Непотпуно основно образовање,867
2013,Број,Кључ,Ж,Непотпуно основно образовање,980
2013,Број,Коњиц,Ж,Непотпуно основно образовање,1887
2013,Број,Крешево,Ж,Непотпуно основно образовање,339
2013,Број,Купрес-ФБиХ,Ж,Непотпуно основно образовање,251
2013,Број,Ливно,Ж,Непотпуно основно образовање,2074
2013,Број,Лукавац,Ж,Непотпуно основно образовање,3291
2013,Број,Љубушки,Ж,Непотпуно основно образовање,1658
2013,Број,Маглај,Ж,Непотпуно основно образовање,1534
2013,Број,Мостар,Ж,Непотпуно основно образовање,3381
2013,Број,Неум,Ж,Непотпуно основно образовање,195
2013,Број,novi_grad_sarajevo,Ж,Непотпуно основно образовање,3323
2013,Број,Нови Травник,Ж,Непотпуно основно образовање,1504
2013,Број,novo_sarajevo,Ж,Непотпуно основно образовање,1141
2013,Број,Оџак,Ж,Непотпуно основно образовање,1207
2013,Број,Олово,Ж,Непотпуно основно образовање,879
2013,Број,Орашје,Ж,Непотпуно основно образовање,1689
2013,Број,Пале-ФБиХ,Ж,Непотпуно основно образовање,67
2013,Број,Посушје,Ж,Непотпуно основно образовање,571
2013,Број,Прозор,Ж,Непотпуно основно образовање,979
2013,Број,Равно,Ж,Непотпуно основно образовање,153
2013,Број,Сански Мост,Ж,Непотпуно основно образовање,1662
2013,Број,Сапна,Ж,Непотпуно основно образовање,1042
2013,Број,Сребреник,Ж,Непотпуно основно образовање,3237
2013,Број,stari_grad_sarajevo,Ж,Непотпуно основно образовање,865
2013,Број,Столац,Ж,Непотпуно основно образовање,624
2013,Број,Широки Бријег,Ж,Непотпуно основно образовање,1239
2013,Број,Теочак,Ж,Непотпуно основно образовање,565
2013,Број,Тешањ,Ж,Непотпуно основно образовање,2278
2013,Број,Томиславград,Ж,Непотпуно основно образовање,1487
2013,Број,Травник,Ж,Непотпуно основно образовање,3821
2013,Број,Трново-ФБиХ,Ж,Непотпуно основно образовање,150
2013,Број,Тузла,Ж,Непотпуно основно образовање,4778
2013,Број,Усора,Ж,Непотпуно основно образовање,300
2013,Број,Вареш,Ж,Непотпуно основно образовање,1081
2013,Број,Велика Кладуша,Ж,Непотпуно основно образовање,3152
2013,Број,Високо,Ж,Непотпуно основно образовање,2536
2013,Број,Витез,Ж,Непотпуно основно образовање,1460
2013,Број,vogosca,Ж,Непотпуно основно образовање,926
2013,Број,Завидовићи,Ж,Непотпуно основно образовање,2308
2013,Број,Зеница,Ж,Непотпуно основно образовање,6683
2013,Број,Жепче,Ж,Непотпуно основно образовање,1744
2013,Број,Живинице,Ж,Непотпуно основно образовање,4581
2013,Број,Бановићи,Оба пола,Основна школа,4419
2013,Број,Бихаћ,Оба пола,Основна школа,11023
2013,Број,Босанска Крупа,Оба пола,Основна школа,6093
2013,Број,Босански Петровац,Оба пола,Основна школа,1564
2013,Број,Босанско Грахово,Оба пола,Основна школа,425
2013,Број,Бреза,Оба пола,Основна школа,2276
2013,Број,Бугојно,Оба пола,Основна школа,6364
2013,Број,Бусовача,Оба пола,Основна школа,3490
2013,Број,Бужим,Оба пола,Основна школа,5643
2013,Број,Цазин,Оба пола,Основна школа,17120
2013,Број,centar_sarajevo,Оба пола,Основна школа,5446
