Year,UNIT-MEASURE,Administrativna jedinica,Spol,Najviša završena škola,Value
2013,Broj,Posavski kanton,Ž,Visoka škola / fakultet / akademija / univerzitet,1197
2013,Broj,Tuzlanski kanton,Ž,Ukupno,193689
2013,Broj,Tuzlanski kanton,Ž,Bez obrazovanja,16146
2013,Broj,Tuzlanski kanton,Ž,Nepotpuno osnovno obrazovanje,30621
2013,Broj,Tuzlanski kanton,Ž,Osnovna škola,51141
2013,Broj,Tuzlanski kanton,Ž,Srednja škola,78306
2013,Broj,Tuzlanski kanton,Ž,Specijalizacija poslije srednje škole,367
2013,Broj,Tuzlanski kanton,Ž,Viša škola i prvi stepen fakulteta,3077
2013,Broj,Tuzlanski kanton,Ž,Visoka škola / fakultet / akademija / univerzitet,14031
2013,Broj,Zeničko-dobojski kanton,Ž,Ukupno,154153
2013,Broj,Zeničko-dobojski kanton,Ž,Bez obrazovanja,11104
2013,Broj,Zeničko-dobojski kanton,Ž,Nepotpuno osnovno obrazovanje,23417
2013,Broj,Zeničko-dobojski kanton,Ž,Osnovna škola,43263
2013,Broj,Zeničko-dobojski kanton,Ž,Srednja škola,62410
2013,Broj,Zeničko-dobojski kanton,Ž,Specijalizacija poslije srednje škole,440
2013,Broj,Zeničko-dobojski kanton,Ž,Viša škola i prvi stepen fakulteta,3141
2013,Broj,Zeničko-dobojski kanton,Ž,Visoka škola / fakultet / akademija / univerzitet,10378
2013,Broj,Bosansko-podrinjski kanton,Ž,Ukupno,10567
2013,Broj,Bosansko-podrinjski kanton,Ž,Bez obrazovanja,974
2013,Broj,Bosansko-podrinjski kanton,Ž,Nepotpuno osnovno obrazovanje,1300
2013,Broj,Bosansko-podrinjski kanton,Ž,Osnovna škola,3047
2013,Broj,Bosansko-podrinjski kanton,Ž,Srednja škola,4213
2013,Broj,Bosansko-podrinjski kanton,Ž,Specijalizacija poslije srednje škole,30
2013,Broj,Bosansko-podrinjski kanton,Ž,Viša škola i prvi stepen fakulteta,166
2013,Broj,Bosansko-podrinjski kanton,Ž,Visoka škola / fakultet / akademija / univerzitet,837
2013,Broj,Srednjobosanski kanton,Ž,Ukupno,106469
2013,Broj,Srednjobosanski kanton,Ž,Bez obrazovanja,8977
2013,Broj,Srednjobosanski kanton,Ž,Nepotpuno osnovno obrazovanje,16622
2013,Broj,Srednjobosanski kanton,Ž,Osnovna škola,28299
2013,Broj,Srednjobosanski kanton,Ž,Srednja škola,43466
2013,Broj,Srednjobosanski kanton,Ž,Specijalizacija poslije srednje škole,189
2013,Broj,Srednjobosanski kanton,Ž,Viša škola i prvi stepen fakulteta,2300
2013,Broj,Srednjobosanski kanton,Ž,Visoka škola / fakultet / akademija / univerzitet,6616
2013,Broj,Hercegovačko-neretvanski kanton,Ž,Ukupno,96219
2013,Broj,Hercegovačko-neretvanski kanton,Ž,Bez obrazovanja,5742
2013,Broj,Hercegovačko-neretvanski kanton,Ž,Nepotpuno osnovno obrazovanje,9991
2013,Broj,Hercegovačko-neretvanski kanton,Ž,Osnovna škola,19610
2013,Broj,Hercegovačko-neretvanski kanton,Ž,Srednja škola,44167
2013,Broj,Hercegovačko-neretvanski kanton,Ž,Specijalizacija poslije srednje škole,249
2013,Broj,Hercegovačko-neretvanski kanton,Ž,Viša škola i prvi stepen fakulteta,3797
2013,Broj,Hercegovačko-neretvanski kanton,Ž,Visoka škola / fakultet / akademija / univerzitet,12663
2013,Broj,Zapadno-hercegovački kanton,Ž,Ukupno,39369
2013,Broj,Zapadno-hercegovački kanton,Ž,Bez obrazovanja,2510
2013,Broj,Zapadno-hercegovački kanton,Ž,Nepotpuno osnovno obrazovanje,4195
